MAPPER,count,percentage
MICRORREGIÃO_DO_BRASIL,1,0.0029387563183260845
ESTRATÉGIA,1,0.0029387563183260845
ALIMENTO,1,0.0029387563183260845
CLASSE_ESTRUTURAL_DE_ENTIDADES_QUÍMICAS,1,0.0029387563183260845
FOGUETE_DE_SONDAGEM,1,0.0029387563183260845
CIDADE_DO_JAPÃO,1,0.0029387563183260845
RAÇA_DE_GATO,1,0.0029387563183260845
CIDADE_COM_MAIS_DE_1_MILHÃO_DE_HABITANTES,1,0.0029387563183260845
ORGANIZAÇÃO_TERRITORIAL_ADMINISTRATIVA_DA_RÚSSIA,1,0.0029387563183260845
FAMÍLIA_LINGUÍSTICA,1,0.0029387563183260845
BIOMA,1,0.0029387563183260845
MODALIDADE_DE_DESPORTO,1,0.0029387563183260845
ESTRELA_VARIÁVEL,1,0.0029387563183260845
DEUS,1,0.0029387563183260845
MUNICÍPIO_DA_GALIZA,1,0.0029387563183260845
MUNICÍPIO_DE_HONDURAS,1,0.0029387563183260845
